Year,rain_or_snow_precipitation_total,average_wind_speed,days_with_rain,days_with_snow,days_with_storm,days_with_fog,days_with_tornado,days_with_hail
1955,0,16.2,0,0,0,0,0,0
1956,0,16.8,0,0,0,0,0,0
1957,0,17.5,0,0,0,0,0,0
1958,0,17.1,0,0,0,0,0,0
1959,0,17.1,0,0,0,0,0,0
1960,0,15.7,0,0,0,0,0,0
1961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978,23.35,16.6,0,0,0,0,0,0
1979,128.5,12.8,26,0,7,36,0,1
1980,141.47,11.5,32,0,9,24,0,0
1981,66.78,11.4,32,0,7,32,0,0
1982,NaN,11.5,47,0,12,19,0,0
1983,7.63,11,32,0,7,19,0,0
1984,1.27,11.4,16,0,3,20,0,0
1985,1.02,11.8,12,0,2,26,0,0
1986,0,11.7,28,0,6,14,0,1
1987,0,10.7,19,0,7,33,0,2
1988,NaN,11.4,28,0,6,26,0,1
1989,NaN,10.9,31,1,10,29,0,5
1990,NaN,10.8,33,2,10,25,0,4
1991,NaN,11,30,1,9,41,0,1
1992,NaN,11.3,49,0,9,19,0,1
1993,NaN,10.8,27,0,2,27,0,0
1994,90.93,11.1,19,1,6,15,0,0
1995,NaN,10.4,38,2,8,21,1,1
1996,NaN,10.6,34,1,8,20,0,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,0,10.3,24,0,4,30,1,0
1999,NaN,10.5,14,1,4,19,0,0
2000,24.87,11,14,0,4,27,0,0
2001,15.73,10.2,10,0,2,37,0,0
2002,NaN,NaN,27,0,4,12,0,0
2003,70.6,10.5,30,0,7,10,0,1
2004,55.62,10.2,15,0,3,26,0,0
2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,198.64,10.6,32,0,4,24,0,1
2007,123.19,10.5,24,0,4,22,0,0
2008,137.9,10.5,26,0,6,26,0,0
2009,127.51,10.4,31,0,13,15,0,3
2010,92.22,10.3,23,0,7,23,0,0
2011,20.32,11.3,20,0,2,13,0,0
2012,251.97,11.1,16,0,3,9,0,0
2013,113.29,11.3,20,0,3,20,0,0
2014,39.34,11.2,25,0,6,10,0,0
2015,378.73,12.5,12,0,1,15,0,0
2016,236.22,11.9,13,0,3,14,0,0
2017,NaN,11.5,26,0,6,25,0,0
2018,NaN,11.6,10,0,3,10,0,0
2019,NaN,12,31,0,13,14,0,0
